hex_id,Province,District,DS,Name,Amenity,geometry,Category,user_id
8861034331fffff,Western,Kalutara,Kalutara,Cargills Food City Uggalboda,Store,POINT (79.9674066 6.6196185),Cargills Food City,
8861150043fffff,Eastern,Ampara,Pottuvil,Cargills Food City - Pottuvil,Supermarket,POINT (81.8299428 6.8753963),Cargills Food City,
88611ec68bfffff,North Central,Anuradhapura,Nuwaragam Palatha East,Cargills Food City - Anuradhapura 1,Supermarket,POINT (80.4091268 8.3316899),Cargills Food City,
88611ec683fffff,North Central,Anuradhapura,Nuwaragam Palatha East,Cargills Food City - Anuradhapura 2,Supermarket,POINT (80.4111899 8.3401946),Cargills Food City,
88611e1759fffff,North Central,Anuradhapura,Nochchiyagama,Cargills Food City Express -Habarana,Supermarket,POINT (80.2087052 8.2630075),Cargills Food City,
886102c901fffff,Uva,Monaragala,Buttala,Cargills Food City (Express) - Buttala,Supermarket,POINT (81.2463839 6.7601416),Cargills Food City,
886102d225fffff,Uva,Monaragala,Katharagama,Cargills Food City (Express) - Kataragama,Supermarket,POINT (81.3317708 6.4156704),Cargills Food City,
886111bb55fffff,Uva,Badulla,Mahiyanganaya,Cargills Food City - Mahiyanganaya,Supermarket,POINT (80.9935897 7.3410759),Cargills Food City,
886102cd29fffff,Uva,Monaragala,Wellawaya,Cargills Food City - Wellawaya,Supermarket,POINT (81.1019688 6.731289),Cargills Food City,
8861027b57fffff,Central,Nuwara Eliya,Nuwara Eliya,Cargills Food City - Nuwaraeliya,Supermarket,POINT (80.7657216 6.9760158),Cargills Food City,
8861025563fffff,Uva,Badulla,Bandarawela,Cargills Food City - Bandarawela 1,Supermarket,POINT (80.9885619 6.8310001),Cargills Food City,
88611c694bfffff,North Western,Puttalam,Mundel,Cargills Food City,Grocery store,POINT (79.8235254 7.9102309),Cargills Food City,
88611c7765fffff,North Western,Puttalam,Chilaw,Cargills Food City - Chilaw 1,Supermarket,POINT (79.7939349 7.5786803),Cargills Food City,
88611c4d87fffff,North Western,Puttalam,Anamaduwa,Cargills Food City Express Anamaduwa,Supermarket,POINT (80.0095509 7.8792577),Cargills Food City,
